"date","open","high","low","close","adj_close","volume","ma_200","ma_50","ma_21","ma_7"
"1980-12-12",0.128348,0.128906,0.128348,0.128348,0.1006,469033600,NULL,NULL,NULL,NULL
"1980-12-15",0.12221,0.12221,0.121652,0.121652,0.095352,175884800,NULL,NULL,NULL,NULL
"1980-12-16",0.113281,0.113281,0.112723,0.112723,0.088353,105728000,NULL,NULL,NULL,NULL
"1980-12-17",0.115513,0.116071,0.115513,0.115513,0.09054,86441600,NULL,NULL,NULL,NULL
"1980-12-18",0.118862,0.11942,0.118862,0.118862,0.093165,73449600,NULL,NULL,NULL,NULL
"1980-12-19",0.126116,0.126674,0.126116,0.126116,0.098851,48630400,NULL,NULL,NULL,NULL
"1980-12-22",0.132254,0.132813,0.132254,0.132254,0.103662,37363200,NULL,NULL,NULL,0.12221
"1980-12-23",0.137835,0.138393,0.137835,0.137835,0.108036,46950400,NULL,NULL,NULL,0.123565
"1980-12-24",0.145089,0.145647,0.145089,0.145089,0.113722,48003200,NULL,NULL,NULL,0.126913
"1980-12-26",0.158482,0.15904,0.158482,0.158482,0.124219,55574400,NULL,NULL,NULL,0.13345
"1980-12-29",0.160714,0.161272,0.160714,0.160714,0.125969,93161600,NULL,NULL,NULL,0.139907
"1980-12-30",0.157366,0.157366,0.156808,0.156808,0.122907,68880000,NULL,NULL,NULL,0.145328
"1980-12-31",0.152902,0.152902,0.152344,0.152344,0.119408,35750400,NULL,NULL,NULL,0.149075
"1981-01-02",0.154018,0.155134,0.154018,0.154018,0.12072,21660800,NULL,NULL,NULL,0.152184
"1981-01-05",0.151228,0.151228,0.15067,0.15067,0.118096,35728000,NULL,NULL,NULL,0.154018
"1981-01-06",0.144531,0.144531,0.143973,0.143973,0.112847,45158400,NULL,NULL,NULL,0.153858
"1981-01-07",0.138393,0.138393,0.137835,0.137835,0.108036,55686400,NULL,NULL,NULL,0.150909
"1981-01-08",0.135603,0.135603,0.135045,0.135045,0.105849,39827200,NULL,NULL,NULL,0.147242
"1981-01-09",0.142299,0.142857,0.142299,0.142299,0.111535,21504000,NULL,NULL,NULL,0.145169
"1981-01-12",0.142299,0.142299,0.141183,0.141183,0.11066,23699200,NULL,NULL,NULL,0.143575
"1981-01-13",0.136719,0.136719,0.136161,0.136161,0.106724,23049600,NULL,NULL,0.138473,0.141024
"1981-01-14",0.136719,0.137277,0.136719,0.136719,0.107161,14291200,NULL,NULL,0.138871,0.139031
"1981-01-15",0.139509,0.140625,0.139509,0.139509,0.109348,14067200,NULL,NULL,0.139722,0.138393
"1981-01-16",0.138951,0.138951,0.138393,0.138393,0.108473,13395200,NULL,NULL,0.140944,0.138473
"1981-01-19",0.146763,0.147321,0.146763,0.146763,0.115034,41574400,NULL,NULL,0.142432,0.140147
"1981-01-20",0.142857,0.142857,0.142299,0.142299,0.111535,30083200,NULL,NULL,0.143548,0.140147
"1981-01-21",0.145089,0.146205,0.145089,0.145089,0.113722,15904000,NULL,NULL,0.144452,0.140705
